                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.1713,                  2.047,                 2.4372,                0.45485,                0.28066,                0.33326,                0.10935,                 2.1325,                  2.803,                 2.4276,               0.003268,               0.003268,               0.003268
                     37,                 2.2024,                 2.0365,                 2.5026,                0.22816,                0.16667,                0.23725,                0.09863,                 2.0931,                 3.4328,                 2.4123,                0.00307,                0.00307,                0.00307
                     38,                 2.1707,                  1.972,                 2.4696,                0.80791,                0.33333,                0.40258,                0.17307,                 2.2062,                  3.073,                 2.3727,               0.002872,               0.002872,               0.002872
                     39,                 2.1564,                 2.0102,                 2.4525,                 0.6576,                0.33333,                0.46157,                0.22232,                 2.5001,                 2.5112,                 2.6098,               0.002674,               0.002674,               0.002674
                     40,                 2.1766,                 1.9348,                 2.4703,                0.80487,                0.34551,                0.55252,                0.21349,                 2.3363,                 2.1503,                  2.618,               0.002476,               0.002476,               0.002476
                     41,                 2.1828,                 2.0177,                 2.3458,                0.57417,                0.41667,                0.54023,                0.22406,                 2.1596,                 2.0772,                 2.3741,               0.002278,               0.002278,               0.002278
                     42,                 2.0425,                 1.8363,                 2.2631,                0.29014,                0.40915,                0.37468,                0.15712,                 2.2426,                  2.142,                 2.5305,                0.00208,                0.00208,                0.00208
                     43,                 1.9485,                 1.8343,                 2.2551,                 0.5999,                0.41667,                0.40734,                0.15165,                  2.242,                 2.1674,                 2.5596,               0.001882,               0.001882,               0.001882
                     44,                 1.9709,                 1.7314,                 2.2574,                0.72544,                0.58333,                  0.576,                0.21584,                 2.0772,                 2.0282,                 2.3293,               0.001684,               0.001684,               0.001684
                     45,                 1.9477,                  1.693,                 2.2896,                 0.4503,                0.54753,                0.51561,                0.19867,                 2.1351,                  1.858,                  2.522,               0.001486,               0.001486,               0.001486
                     46,                 1.9482,                 1.7041,                 2.2225,                 0.2965,                0.58333,                0.36354,                0.17436,                 2.1644,                 1.9811,                 2.5637,               0.001288,               0.001288,               0.001288
                     47,                  1.868,                 1.6886,                 2.2115,                0.53628,                0.66667,                0.50147,                0.21645,                 2.0278,                 1.9636,                 2.3719,                0.00109,                0.00109,                0.00109
                     48,                 1.8714,                 1.6364,                 2.1863,                0.74197,                   0.75,                0.67947,                0.28996,                 1.9911,                 1.8364,                 2.1565,               0.000892,               0.000892,               0.000892
                     49,                 1.9076,                 1.5904,                 2.1479,                0.56436,                0.58333,                0.63191,                0.26067,                 2.0604,                 1.8564,                 2.1893,               0.000694,               0.000694,               0.000694
                     50,                  1.811,                 1.5342,                 2.1149,                0.91974,                    0.5,                0.65572,                 0.2734,                  2.168,                 1.8554,                 2.2371,               0.000496,               0.000496,               0.000496
