                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3101,                 1.2319,                 1.5927,                0.66538,                0.69752,                0.72126,                0.40342,                 1.4862,                 1.0918,                   1.79,               0.003466,               0.003466,               0.003466
                     36,                 1.2994,                  1.225,                 1.5868,                0.66616,                0.70912,                0.72651,                0.42106,                 1.4573,                  1.035,                  1.791,               0.003268,               0.003268,               0.003268
                     37,                 1.3069,                 1.2192,                 1.5913,                0.66944,                0.65839,                0.70697,                 0.4232,                 1.3878,                 1.0852,                 1.7191,                0.00307,                0.00307,                0.00307
                     38,                 1.2883,                 1.2102,                 1.5745,                0.67745,                 0.6744,                0.72669,                0.44078,                 1.3586,                 1.0376,                 1.7019,               0.002872,               0.002872,               0.002872
                     39,                 1.2832,                  1.181,                 1.5654,                0.68911,                0.74796,                0.75891,                0.46527,                 1.3918,                0.99856,                 1.7345,               0.002674,               0.002674,               0.002674
                     40,                 1.2678,                 1.1519,                 1.5613,                0.71509,                0.72561,                 0.7785,                0.48191,                  1.365,                0.95488,                   1.72,               0.002476,               0.002476,               0.002476
                     41,                 1.2014,                0.94523,                 1.5413,                0.77307,                0.70448,                0.78685,                0.45153,                 1.4389,                0.95251,                 1.7846,               0.002278,               0.002278,               0.002278
                     42,                 1.1789,                0.91228,                 1.5286,                0.71005,                0.73851,                0.77507,                0.49148,                 1.2962,                0.95664,                 1.6513,                0.00208,                0.00208,                0.00208
                     43,                 1.1732,                0.88543,                 1.5226,                0.76582,                0.76925,                0.81431,                 0.5079,                  1.348,                0.90532,                 1.6968,               0.001882,               0.001882,               0.001882
                     44,                 1.1486,                 0.8553,                 1.5066,                0.71839,                0.80935,                0.82423,                0.51819,                 1.3064,                0.86874,                 1.6569,               0.001684,               0.001684,               0.001684
                     45,                 1.1139,                0.80981,                 1.4675,                0.87868,                0.77191,                 0.8638,                0.54433,                 1.3258,                0.83361,                 1.6526,               0.001486,               0.001486,               0.001486
                     46,                 1.1116,                0.81056,                 1.4744,                0.82059,                0.79026,                0.86161,                0.55156,                 1.3192,                  0.827,                 1.6445,               0.001288,               0.001288,               0.001288
                     47,                 1.0838,                0.76767,                 1.4484,                0.83441,                0.81073,                0.87168,                0.56284,                 1.2912,                0.81157,                 1.6108,                0.00109,                0.00109,                0.00109
                     48,                 1.0555,                0.75273,                 1.4213,                0.83182,                0.83093,                0.87863,                 0.5888,                 1.2187,                0.80369,                 1.5803,               0.000892,               0.000892,               0.000892
                     49,                  1.057,                0.73319,                 1.4213,                0.88024,                 0.8066,                0.89518,                0.58713,                 1.2759,                 0.7811,                 1.5871,               0.000694,               0.000694,               0.000694
                     50,                 1.0281,                0.71156,                 1.4072,                0.80545,                0.84532,                0.88894,                0.59321,                 1.2284,                0.75598,                 1.5826,               0.000496,               0.000496,               0.000496
